Feature Type,Label,Average Cosine Similarity,Cosine Similarity Std
sae_input,label,0.8787750313156529,0.011810844196482298
sae_recons,label,0.894333111926129,0.011549928175193803
sae_diff,label,0.7741553704989584,0.02186572762669548
sae_input,has_alice,0.8145467108801792,0.0311263832498144
sae_recons,has_alice,0.8588140886080893,0.02107852027245282
sae_diff,has_alice,0.6590578176473316,0.03301127561386175
sae_input,has_not,0.7703472030790228,0.023247395641500104
sae_recons,has_not,0.7672910128769121,0.026519614145468273
sae_diff,has_not,0.572913197624056,0.05316146961064062
sae_input,has_alice xor has_not,0.8869143762086568,0.011444991546434946
sae_recons,has_alice xor has_not,0.9033223152160644,0.00858569387575186
sae_diff,has_alice xor has_not,0.7882913912597456,0.015692587833153804
sae_input,has_alice xor label,0.8987834299865521,0.006745378761393697
sae_recons,has_alice xor label,0.8929522536302867,0.0066551522992104924
sae_diff,has_alice xor label,0.8470529173549853,0.008170875455783792
sae_input,has_not xor label,0.8644883193467793,0.014969588194833473
sae_recons,has_not xor label,0.8765944662847017,0.013089795135955519
sae_diff,has_not xor label,0.7559232175350189,0.02227559312118729
